preprocess,model,shots,accuracy,accuracy_percent,latency_ms,metric_protocol,experiment_title
FFT,CNN,5,0.85068349106204,85.07,1.2193,deployment_baseline,CNN_CWRU_FFT_5w5s5q_source012_target3_labels0123456789
FFT,CNN,10,0.9148264984227129,91.48,1.0674,deployment_baseline,CNN_CWRU_FFT_5w10s10q_source012_target3_labels0123456789
FFT,CNN,15,0.9190325972660357,91.9,1.1826,deployment_baseline,CNN_CWRU_FFT_5w15s15q_source012_target3_labels0123456789
FFT,MAML,5,0.8748685594111462,87.49,1.2277,deployment_baseline,MAML_CWRU_FFT_5w5s_source012_target3_labels0123456789
FFT,MAML,10,0.9968454258675079,99.68,1.2684,deployment_baseline,MAML_CWRU_FFT_5w10s_source012_target3_labels0123456789
FFT,MAML,15,0.9978969505783386,99.79,1.2062,deployment_baseline,MAML_CWRU_FFT_5w15s_source012_target3_labels0123456789
FFT,ProtoNet,5,1.0,100.0,1.2038,deployment_baseline,ProtoNet_CWRU_FFT_5w5s5q_source012_target3_labels0123456789
FFT,ProtoNet,10,1.0,100.0,1.2217,deployment_baseline,ProtoNet_CWRU_FFT_5w10s10q_source012_target3_labels0123456789
FFT,ProtoNet,15,1.0,100.0,1.2075,deployment_baseline,ProtoNet_CWRU_FFT_5w15s15q_source012_target3_labels0123456789
STFT,CNN,5,0.9905362776025236,99.05,2.7751,deployment_baseline,CNN_CWRU_STFT_5w5s5q_source012_target3_labels0123456789
STFT,CNN,10,0.9831756046267087,98.32,2.7819,deployment_baseline,CNN_CWRU_STFT_5w10s10q_source012_target3_labels0123456789
STFT,CNN,15,0.9831756046267087,98.32,2.7181,deployment_baseline,CNN_CWRU_STFT_5w15s15q_source012_target3_labels0123456789
STFT,MAML,5,0.9915878023133544,99.16,2.899,deployment_baseline,MAML_CWRU_STFT_5w5s_source012_target3_labels0123456789
STFT,MAML,10,0.9926393270241851,99.26,2.7164,deployment_baseline,MAML_CWRU_STFT_5w10s_source012_target3_labels0123456789
STFT,MAML,15,0.9947423764458465,99.47,2.7156,deployment_baseline,MAML_CWRU_STFT_5w15s_source012_target3_labels0123456789
STFT,ProtoNet,5,1.0,100.0,2.7264,deployment_baseline,ProtoNet_CWRU_STFT_5w5s5q_source012_target3_labels0123456789
STFT,ProtoNet,10,1.0,100.0,2.7676,deployment_baseline,ProtoNet_CWRU_STFT_5w10s10q_source012_target3_labels0123456789
STFT,ProtoNet,15,1.0,100.0,2.729,deployment_baseline,ProtoNet_CWRU_STFT_5w15s15q_source012_target3_labels0123456789
WT,CNN,5,0.9968454258675079,99.68,2.7852,deployment_baseline,CNN_CWRU_WT_5w5s5q_source012_target3_labels0123456789
WT,CNN,10,0.9989484752891693,99.89,2.6192,deployment_baseline,CNN_CWRU_WT_5w10s10q_source012_target3_labels0123456789
WT,CNN,15,0.9978969505783386,99.79,2.6741,deployment_baseline,CNN_CWRU_WT_5w15s15q_source012_target3_labels0123456789
WT,MAML,5,0.9926393270241851,99.26,2.5968,deployment_baseline,MAML_CWRU_WT_5w5s_source012_target3_labels0123456789
WT,MAML,10,0.9936908517350158,99.37,2.7706,deployment_baseline,MAML_CWRU_WT_5w10s_source012_target3_labels0123456789
WT,MAML,15,1.0,100.0,2.673,deployment_baseline,MAML_CWRU_WT_5w15s_source012_target3_labels0123456789
WT,ProtoNet,5,0.9978969505783386,99.79,2.6308,deployment_baseline,ProtoNet_CWRU_WT_5w5s5q_source012_target3_labels0123456789
WT,ProtoNet,10,1.0,100.0,2.6244,deployment_baseline,ProtoNet_CWRU_WT_5w10s10q_source012_target3_labels0123456789
WT,ProtoNet,15,0.9989484752891693,99.89,2.4148,deployment_baseline,ProtoNet_CWRU_WT_5w15s15q_source012_target3_labels0123456789
