train_domains,test_domain,preprocess,model,shots,seed,metric_protocol,accuracy,accuracy_percent,latency_ms,experiment_title
"0,1,2",3,FFT,CNN,5,42,deployment_baseline,0.85068349106204,85.07,1.2193,CNN_CWRU_FFT_5w5s5q_source012_target3_labels0123456789
"0,1,2",3,FFT,CNN,10,42,deployment_baseline,0.9148264984227129,91.48,1.0674,CNN_CWRU_FFT_5w10s10q_source012_target3_labels0123456789
"0,1,2",3,FFT,CNN,15,42,deployment_baseline,0.9190325972660357,91.9,1.1826,CNN_CWRU_FFT_5w15s15q_source012_target3_labels0123456789
"0,1,2",3,FFT,MAML,5,42,deployment_baseline,0.8748685594111462,87.49,1.2277,MAML_CWRU_FFT_5w5s_source012_target3_labels0123456789
"0,1,2",3,FFT,MAML,10,42,deployment_baseline,0.9968454258675079,99.68,1.2684,MAML_CWRU_FFT_5w10s_source012_target3_labels0123456789
"0,1,2",3,FFT,MAML,15,42,deployment_baseline,0.9978969505783386,99.79,1.2062,MAML_CWRU_FFT_5w15s_source012_target3_labels0123456789
"0,1,2",3,FFT,ProtoNet,5,42,deployment_baseline,1.0,100.0,1.2038,ProtoNet_CWRU_FFT_5w5s5q_source012_target3_labels0123456789
"0,1,2",3,FFT,ProtoNet,10,42,deployment_baseline,1.0,100.0,1.2217,ProtoNet_CWRU_FFT_5w10s10q_source012_target3_labels0123456789
"0,1,2",3,FFT,ProtoNet,15,42,deployment_baseline,1.0,100.0,1.2075,ProtoNet_CWRU_FFT_5w15s15q_source012_target3_labels0123456789
"0,1,2",3,STFT,CNN,5,42,deployment_baseline,0.9905362776025236,99.05,2.7751,CNN_CWRU_STFT_5w5s5q_source012_target3_labels0123456789
"0,1,2",3,STFT,CNN,10,42,deployment_baseline,0.9831756046267087,98.32,2.7819,CNN_CWRU_STFT_5w10s10q_source012_target3_labels0123456789
"0,1,2",3,STFT,CNN,15,42,deployment_baseline,0.9831756046267087,98.32,2.7181,CNN_CWRU_STFT_5w15s15q_source012_target3_labels0123456789
"0,1,2",3,STFT,MAML,5,42,deployment_baseline,0.9915878023133544,99.16,2.899,MAML_CWRU_STFT_5w5s_source012_target3_labels0123456789
"0,1,2",3,STFT,MAML,10,42,deployment_baseline,0.9926393270241851,99.26,2.7164,MAML_CWRU_STFT_5w10s_source012_target3_labels0123456789
