preprocess,model,shots,accuracy,accuracy_percent,latency_ms,metric_protocol,experiment_title
FFT,CNN,5,0.9634831460674157,96.35,0.9705,deployment_baseline,CNN_CWRU_FFT_5w5s5q_source123_target0_labels0123456789
FFT,CNN,10,0.875,87.5,1.2666,deployment_baseline,CNN_CWRU_FFT_5w10s10q_source123_target0_labels0123456789
FFT,CNN,15,0.9283707865168539,92.84,1.1872,deployment_baseline,CNN_CWRU_FFT_5w15s15q_source123_target0_labels0123456789
FFT,MAML,5,0.9747191011235955,97.47,1.2303,deployment_baseline,MAML_CWRU_FFT_5w5s_source123_target0_labels0123456789
FFT,MAML,10,0.9452247191011236,94.52,1.1513,deployment_baseline,MAML_CWRU_FFT_5w10s_source123_target0_labels0123456789
FFT,MAML,15,1.0,100.0,1.1018,deployment_baseline,MAML_CWRU_FFT_5w15s_source123_target0_labels0123456789
FFT,ProtoNet,5,0.9985955056179775,99.86,1.2587,deployment_baseline,ProtoNet_CWRU_FFT_5w5s5q_source123_target0_labels0123456789
FFT,ProtoNet,10,0.9985955056179775,99.86,1.1942,deployment_baseline,ProtoNet_CWRU_FFT_5w10s10q_source123_target0_labels0123456789
FFT,ProtoNet,15,1.0,100.0,1.2404,deployment_baseline,ProtoNet_CWRU_FFT_5w15s15q_source123_target0_labels0123456789
STFT,CNN,5,0.8160112359550562,81.6,2.718,deployment_baseline,CNN_CWRU_STFT_5w5s5q_source123_target0_labels0123456789
STFT,CNN,10,0.9367977528089888,93.68,2.8804,deployment_baseline,CNN_CWRU_STFT_5w10s10q_source123_target0_labels0123456789
STFT,CNN,15,0.9353932584269663,93.54,2.7157,deployment_baseline,CNN_CWRU_STFT_5w15s15q_source123_target0_labels0123456789
STFT,MAML,5,0.9676966292134831,96.77,2.889,deployment_baseline,MAML_CWRU_STFT_5w5s_source123_target0_labels0123456789
STFT,MAML,10,0.973314606741573,97.33,2.6667,deployment_baseline,MAML_CWRU_STFT_5w10s_source123_target0_labels0123456789
STFT,MAML,15,0.9634831460674157,96.35,2.8577,deployment_baseline,MAML_CWRU_STFT_5w15s_source123_target0_labels0123456789
STFT,ProtoNet,5,0.9817415730337079,98.17,2.8,deployment_baseline,ProtoNet_CWRU_STFT_5w5s5q_source123_target0_labels0123456789
STFT,ProtoNet,10,0.973314606741573,97.33,2.7818,deployment_baseline,ProtoNet_CWRU_STFT_5w10s10q_source123_target0_labels0123456789
STFT,ProtoNet,15,0.9873595505617978,98.74,2.6528,deployment_baseline,ProtoNet_CWRU_STFT_5w15s15q_source123_target0_labels0123456789
WT,CNN,5,0.8609550561797753,86.1,2.7304,deployment_baseline,CNN_CWRU_WT_5w5s5q_source123_target0_labels0123456789
WT,CNN,10,0.922752808988764,92.28,2.7657,deployment_baseline,CNN_CWRU_WT_5w10s10q_source123_target0_labels0123456789
WT,CNN,15,0.9157303370786517,91.57,2.745,deployment_baseline,CNN_CWRU_WT_5w15s15q_source123_target0_labels0123456789
WT,MAML,5,0.9339887640449438,93.4,2.873,deployment_baseline,MAML_CWRU_WT_5w5s_source123_target0_labels0123456789
WT,MAML,10,0.9789325842696629,97.89,3.0974,deployment_baseline,MAML_CWRU_WT_5w10s_source123_target0_labels0123456789
WT,MAML,15,0.9508426966292135,95.08,2.7979,deployment_baseline,MAML_CWRU_WT_5w15s_source123_target0_labels0123456789
WT,ProtoNet,5,0.9901685393258427,99.02,2.8875,deployment_baseline,ProtoNet_CWRU_WT_5w5s5q_source123_target0_labels0123456789
WT,ProtoNet,10,0.9929775280898876,99.3,2.6654,deployment_baseline,ProtoNet_CWRU_WT_5w10s10q_source123_target0_labels0123456789
WT,ProtoNet,15,0.9943820224719101,99.44,2.868,deployment_baseline,ProtoNet_CWRU_WT_5w15s15q_source123_target0_labels0123456789
