preprocess,model,shots,accuracy,accuracy_percent,latency_ms,metric_protocol,experiment_title
FFT,CNN,5,0.5303030303030303,53.03,1.2356,deployment_baseline,CNN_CWRU_FFT_5w5s5q_source012_target3_labels0123456789
FFT,CNN,10,0.6144781144781145,61.45,1.2599,deployment_baseline,CNN_CWRU_FFT_5w10s10q_source012_target3_labels0123456789
FFT,CNN,15,0.29292929292929293,29.29,0.9282,deployment_baseline,CNN_CWRU_FFT_5w15s15q_source012_target3_labels0123456789
FFT,MAML,5,0.8181818181818182,81.82,1.183,deployment_baseline,MAML_CWRU_FFT_5w5s_source012_target3_labels0123456789
FFT,MAML,10,0.9983164983164983,99.83,1.2229,deployment_baseline,MAML_CWRU_FFT_5w10s_source012_target3_labels0123456789
FFT,MAML,15,0.6616161616161617,66.16,1.0958,deployment_baseline,MAML_CWRU_FFT_5w15s_source012_target3_labels0123456789
FFT,ProtoNet,5,0.9983164983164983,99.83,0.931,deployment_baseline,ProtoNet_CWRU_FFT_5w5s5q_source012_target3_labels0123456789
FFT,ProtoNet,10,1.0,100.0,1.1955,deployment_baseline,ProtoNet_CWRU_FFT_5w10s10q_source012_target3_labels0123456789
FFT,ProtoNet,15,1.0,100.0,1.1208,deployment_baseline,ProtoNet_CWRU_FFT_5w15s15q_source012_target3_labels0123456789
STFT,CNN,5,0.7491582491582491,74.92,2.52,deployment_baseline,CNN_CWRU_STFT_5w5s5q_source012_target3_labels0123456789
STFT,CNN,10,0.7373737373737373,73.74,2.7839,deployment_baseline,CNN_CWRU_STFT_5w10s10q_source012_target3_labels0123456789
STFT,CNN,15,0.8501683501683501,85.02,3.0984,deployment_baseline,CNN_CWRU_STFT_5w15s15q_source012_target3_labels0123456789
STFT,MAML,5,0.9848484848484849,98.48,2.9263,deployment_baseline,MAML_CWRU_STFT_5w5s_source012_target3_labels0123456789
STFT,MAML,10,0.9966329966329966,99.66,2.9247,deployment_baseline,MAML_CWRU_STFT_5w10s_source012_target3_labels0123456789
STFT,MAML,15,1.0,100.0,2.9543,deployment_baseline,MAML_CWRU_STFT_5w15s_source012_target3_labels0123456789
STFT,ProtoNet,5,0.9915824915824916,99.16,2.69,deployment_baseline,ProtoNet_CWRU_STFT_5w5s5q_source012_target3_labels0123456789
STFT,ProtoNet,10,0.9932659932659933,99.33,2.6546,deployment_baseline,ProtoNet_CWRU_STFT_5w10s10q_source012_target3_labels0123456789
STFT,ProtoNet,15,0.9915824915824916,99.16,2.6905,deployment_baseline,ProtoNet_CWRU_STFT_5w15s15q_source012_target3_labels0123456789
WT,CNN,5,0.9511784511784511,95.12,2.5512,deployment_baseline,CNN_CWRU_WT_5w5s5q_source012_target3_labels0123456789
WT,CNN,10,0.8787878787878788,87.88,2.7005,deployment_baseline,CNN_CWRU_WT_5w10s10q_source012_target3_labels0123456789
WT,CNN,15,0.9326599326599326,93.27,2.9358,deployment_baseline,CNN_CWRU_WT_5w15s15q_source012_target3_labels0123456789
WT,MAML,5,0.9932659932659933,99.33,2.7024,deployment_baseline,MAML_CWRU_WT_5w5s_source012_target3_labels0123456789
WT,MAML,10,0.9983164983164983,99.83,2.4183,deployment_baseline,MAML_CWRU_WT_5w10s_source012_target3_labels0123456789
WT,MAML,15,0.9983164983164983,99.83,2.6298,deployment_baseline,MAML_CWRU_WT_5w15s_source012_target3_labels0123456789
WT,ProtoNet,5,0.9966329966329966,99.66,2.7041,deployment_baseline,ProtoNet_CWRU_WT_5w5s5q_source012_target3_labels0123456789
WT,ProtoNet,10,0.9983164983164983,99.83,2.6784,deployment_baseline,ProtoNet_CWRU_WT_5w10s10q_source012_target3_labels0123456789
WT,ProtoNet,15,0.9983164983164983,99.83,2.6678,deployment_baseline,ProtoNet_CWRU_WT_5w15s15q_source012_target3_labels0123456789
