preprocess,model,shots,sample_count,metric_protocol,accuracy_mean,accuracy_std,accuracy_mean_percent,accuracy_std_percent,accuracy_mean_std,latency_mean_ms,latency_std_ms,latency_mean_std_ms
FFT,CNN,5,3,deployment_baseline_mean_std,0.687234,0.16029,68.72,16.03,68.72 +- 16.03,1.1585,0.1197,1.1585 +- 0.1197
FFT,CNN,10,3,deployment_baseline_mean_std,0.740186,0.156039,74.02,15.6,74.02 +- 15.6,1.1676,0.0965,1.1676 +- 0.0965
FFT,CNN,15,3,deployment_baseline_mean_std,0.668827,0.331437,66.88,33.14,66.88 +- 33.14,1.0625,0.1278,1.0625 +- 0.1278
FFT,MAML,5,3,deployment_baseline_mean_std,0.897683,0.093031,89.77,9.3,89.77 +- 9.3,1.1283,0.1354,1.1283 +- 0.1354
FFT,MAML,10,3,deployment_baseline_mean_std,0.998387,0.001578,99.84,0.16,99.84 +- 0.16,1.2155,0.0569,1.2155 +- 0.0569
FFT,MAML,15,3,deployment_baseline_mean_std,0.886153,0.194455,88.62,19.45,88.62 +- 19.45,1.1876,0.0841,1.1876 +- 0.0841
FFT,ProtoNet,5,3,deployment_baseline_mean_std,0.999439,0.000972,99.94,0.1,99.94 +- 0.1,1.0389,0.145,1.0389 +- 0.145
FFT,ProtoNet,10,3,deployment_baseline_mean_std,1.0,0.0,100.0,0.0,100.0 +- 0.0,1.2233,0.0286,1.2233 +- 0.0286
FFT,ProtoNet,15,3,deployment_baseline_mean_std,1.0,0.0,100.0,0.0,100.0 +- 0.0,1.2296,0.1213,1.2296 +- 0.1213
STFT,CNN,5,3,deployment_baseline_mean_std,0.821556,0.14684,82.16,14.68,82.16 +- 14.68,2.738,0.202,2.738 +- 0.202
STFT,CNN,10,3,deployment_baseline_mean_std,0.858729,0.12293,85.87,12.29,85.87 +- 12.29,2.7218,0.1059,2.7218 +- 0.1059
STFT,CNN,15,3,deployment_baseline_mean_std,0.913538,0.066725,91.35,6.67,91.35 +- 6.67,2.8424,0.2217,2.8424 +- 0.2217
STFT,MAML,5,3,deployment_baseline_mean_std,0.992145,0.007591,99.21,0.76,99.21 +- 0.76,2.9231,0.0226,2.9231 +- 0.0226
STFT,MAML,10,3,deployment_baseline_mean_std,0.996424,0.003685,99.64,0.37,99.64 +- 0.37,2.8125,0.1051,2.8125 +- 0.1051
STFT,MAML,15,3,deployment_baseline_mean_std,0.988413,0.015738,98.84,1.57,98.84 +- 1.57,2.8466,0.1211,2.8466 +- 0.1211
STFT,ProtoNet,5,3,deployment_baseline_mean_std,0.997194,0.00486,99.72,0.49,99.72 +- 0.49,2.7307,0.0431,2.7307 +- 0.0431
STFT,ProtoNet,10,3,deployment_baseline_mean_std,0.997755,0.003888,99.78,0.39,99.78 +- 0.39,2.7885,0.1455,2.7885 +- 0.1455
STFT,ProtoNet,15,3,deployment_baseline_mean_std,0.997194,0.00486,99.72,0.49,99.72 +- 0.49,2.7195,0.0255,2.7195 +- 0.0255
WT,CNN,5,3,deployment_baseline_mean_std,0.974596,0.022856,97.46,2.29,97.46 +- 2.29,2.6526,0.1201,2.6526 +- 0.1201
WT,CNN,10,3,deployment_baseline_mean_std,0.953274,0.065056,95.33,6.51,95.33 +- 6.51,2.6741,0.0475,2.6741 +- 0.0475
WT,CNN,15,3,deployment_baseline_mean_std,0.973691,0.035725,97.37,3.57,97.37 +- 3.57,2.7586,0.1535,2.7586 +- 0.1535
WT,MAML,5,3,deployment_baseline_mean_std,0.995302,0.004081,99.53,0.41,99.53 +- 0.41,2.5643,0.1569,2.5643 +- 0.1569
WT,MAML,10,3,deployment_baseline_mean_std,0.994526,0.00345,99.45,0.34,99.45 +- 0.34,2.686,0.237,2.686 +- 0.237
WT,MAML,15,3,deployment_baseline_mean_std,0.999088,0.000851,99.91,0.09,99.91 +- 0.09,2.6703,0.0392,2.6703 +- 0.0392
WT,ProtoNet,5,3,deployment_baseline_mean_std,0.997825,0.001158,99.78,0.12,99.78 +- 0.12,2.5899,0.1393,2.5899 +- 0.1393
WT,ProtoNet,10,3,deployment_baseline_mean_std,0.999088,0.000851,99.91,0.09,99.91 +- 0.09,2.6727,0.0457,2.6727 +- 0.0457
WT,ProtoNet,15,3,deployment_baseline_mean_std,0.998737,0.000364,99.87,0.04,99.87 +- 0.04,2.5885,0.1506,2.5885 +- 0.1506
